age_group,year,prevalence,se,ci_lower,ci_upper
18-29,1972,0,0,0,0
18-29,1973,0,0,0,0
18-29,1974,0,0,0,0
18-29,1975,0,0,0,0
18-29,1976,0,0,0,0
18-29,1977,0,0,0,0
18-29,1980,0,0,0,0
18-29,1982,0,0,0,0
18-29,1984,0,0,0,0
18-29,1985,0,0,0,0
18-29,1987,0,0,0,0
18-29,1988,0,0,0,0
18-29,1989,0,0,0,0
18-29,1990,0,0,0,0
18-29,1991,0,0,0,0
18-29,1993,0,0,0,0
18-29,1994,0,0,0,0
18-29,1996,0,0,0,0
18-29,1998,0,0,0,0
18-29,2000,0,0,0,0
18-29,2002,0,0,0,0
18-29,2004,0,0,0,0
18-29,2006,0,0,0,0
18-29,2008,0,0,0,0
18-29,2010,0,0,0,0
18-29,2012,0,0,0,0
18-29,2014,0,0,0,0
18-29,2016,0,0,0,0
18-29,2018,0,0,0,0
18-29,2021,0,0,0,0
18-29,2022,0,0,0,0
18-29,2024,0,0,0,0
30-39,1972,0,0,0,0
30-39,1973,0,0,0,0
30-39,1974,0,0,0,0
30-39,1975,0,0,0,0
30-39,1976,0,0,0,0
30-39,1977,0,0,0,0
30-39,1980,0,0,0,0
30-39,1982,0,0,0,0
30-39,1984,0,0,0,0
30-39,1985,0,0,0,0
30-39,1987,0,0,0,0
30-39,1988,0,0,0,0
30-39,1989,0,0,0,0
30-39,1990,0,0,0,0
30-39,1991,0,0,0,0
30-39,1993,0,0,0,0
30-39,1994,0,0,0,0
30-39,1996,0,0,0,0
30-39,1998,0,0,0,0
30-39,2000,0,0,0,0
30-39,2002,0,0,0,0
30-39,2004,0,0,0,0
30-39,2006,0,0,0,0
30-39,2008,0,0,0,0
30-39,2010,0,0,0,0
30-39,2012,0,0,0,0
30-39,2014,0,0,0,0
30-39,2016,0,0,0,0
30-39,2018,0,0,0,0
30-39,2021,0,0,0,0
30-39,2022,0,0,0,0
30-39,2024,0,0,0,0
40-49,1972,0,0,0,0
40-49,1973,0,0,0,0
40-49,1974,0,0,0,0
40-49,1975,0,0,0,0
40-49,1976,0,0,0,0
40-49,1977,0,0,0,0
40-49,1980,0,0,0,0
40-49,1982,0,0,0,0
40-49,1984,0,0,0,0
40-49,1985,0,0,0,0
40-49,1987,0,0,0,0
40-49,1988,0,0,0,0
40-49,1989,0,0,0,0
40-49,1990,0,0,0,0
40-49,1991,0,0,0,0
40-49,1993,0,0,0,0
40-49,1994,0,0,0,0
40-49,1996,0,0,0,0
40-49,1998,0,0,0,0
40-49,2000,0,0,0,0
40-49,2002,0,0,0,0
40-49,2004,0,0,0,0
40-49,2006,0,0,0,0
40-49,2008,0,0,0,0
40-49,2010,0,0,0,0
40-49,2012,0,0,0,0
40-49,2014,0,0,0,0
40-49,2016,0,0,0,0
40-49,2018,0,0,0,0
40-49,2021,0,0,0,0
40-49,2022,0,0,0,0
40-49,2024,0,0,0,0
50-59,1972,0,0,0,0
50-59,1973,0,0,0,0
50-59,1974,0,0,0,0
50-59,1975,0,0,0,0
50-59,1976,0,0,0,0
50-59,1977,0,0,0,0
50-59,1980,0,0,0,0
50-59,1982,0,0,0,0
50-59,1984,0,0,0,0
50-59,1985,0,0,0,0
50-59,1987,0,0,0,0
50-59,1988,0,0,0,0
50-59,1989,0,0,0,0
50-59,1990,0,0,0,0
50-59,1991,0,0,0,0
50-59,1993,0,0,0,0
50-59,1994,0,0,0,0
50-59,1996,0,0,0,0
50-59,1998,0,0,0,0
50-59,2000,0,0,0,0
50-59,2002,0,0,0,0
50-59,2004,0,0,0,0
50-59,2006,0,0,0,0
50-59,2008,0,0,0,0
50-59,2010,0,0,0,0
50-59,2012,0,0,0,0
50-59,2014,0,0,0,0
50-59,2016,0,0,0,0
50-59,2018,0,0,0,0
50-59,2021,0,0,0,0
50-59,2022,0,0,0,0
50-59,2024,0,0,0,0
60-69,1972,0,0,0,0
60-69,1973,0,0,0,0
60-69,1974,0,0,0,0
60-69,1975,0,0,0,0
60-69,1976,0,0,0,0
60-69,1977,0,0,0,0
60-69,1980,0,0,0,0
60-69,1982,0,0,0,0
60-69,1984,0,0,0,0
60-69,1985,0,0,0,0
60-69,1987,0,0,0,0
60-69,1988,0,0,0,0
60-69,1989,0,0,0,0
60-69,1990,0,0,0,0
60-69,1991,0,0,0,0
60-69,1993,0,0,0,0
60-69,1994,0,0,0,0
60-69,1996,0,0,0,0
60-69,1998,0,0,0,0
60-69,2000,0,0,0,0
60-69,2002,0,0,0,0
60-69,2004,0,0,0,0
60-69,2006,0,0,0,0
60-69,2008,0,0,0,0
60-69,2010,0,0,0,0
60-69,2012,0,0,0,0
60-69,2014,0,0,0,0
60-69,2016,0,0,0,0
60-69,2018,0,0,0,0
60-69,2021,0,0,0,0
60-69,2022,0,0,0,0
60-69,2024,0,0,0,0
70-79,1972,0,0,0,0
70-79,1973,0,0,0,0
70-79,1974,0,0,0,0
70-79,1975,0,0,0,0
70-79,1976,0,0,0,0
70-79,1977,0,0,0,0
70-79,1980,0,0,0,0
70-79,1982,0,0,0,0
70-79,1984,0,0,0,0
70-79,1985,0,0,0,0
70-79,1987,0,0,0,0
70-79,1988,0,0,0,0
70-79,1989,0,0,0,0
70-79,1990,0,0,0,0
70-79,1991,0,0,0,0
70-79,1993,0,0,0,0
70-79,1994,0,0,0,0
70-79,1996,0,0,0,0
70-79,1998,0,0,0,0
70-79,2000,0,0,0,0
70-79,2002,0,0,0,0
70-79,2004,0,0,0,0
70-79,2006,0,0,0,0
70-79,2008,0,0,0,0
70-79,2010,0,0,0,0
70-79,2012,0,0,0,0
70-79,2014,0,0,0,0
70-79,2016,0,0,0,0
70-79,2018,0,0,0,0
70-79,2021,0,0,0,0
70-79,2022,0,0,0,0
70-79,2024,0,0,0,0
80-89,1972,0,0,0,0
80-89,1973,0,0,0,0
80-89,1974,0,0,0,0
80-89,1975,0,0,0,0
80-89,1976,0,0,0,0
80-89,1977,0,0,0,0
80-89,1980,0,0,0,0
80-89,1982,0,0,0,0
80-89,1984,0,0,0,0
80-89,1985,0,0,0,0
80-89,1987,0,0,0,0
80-89,1988,0,0,0,0
80-89,1989,0,0,0,0
80-89,1990,0,0,0,0
80-89,1991,0,0,0,0
80-89,1993,0,0,0,0
80-89,1994,0,0,0,0
80-89,1996,0,0,0,0
80-89,1998,0,0,0,0
80-89,2000,0,0,0,0
80-89,2002,0,0,0,0
80-89,2004,0,0,0,0
80-89,2006,0,0,0,0
80-89,2008,0,0,0,0
80-89,2010,0,0,0,0
80-89,2012,0,0,0,0
80-89,2014,0,0,0,0
80-89,2016,0,0,0,0
80-89,2018,0,0,0,0
80-89,2021,0,0,0,0
80-89,2022,0,0,0,0
80-89,2024,0,0,0,0
